trial,width,height,density,mode,ok,ms,expansions,path_cells
18,100,100,0.2,dijkstra,True,34.5717,7993,197
18,100,100,0.2,astar,True,21.1172,5647,197
18,100,100,0.2,jps4,True,16.7008,2654,197
19,100,100,0.2,dijkstra,True,28.1655,7989,199
19,100,100,0.2,astar,True,15.318,4207,199
19,100,100,0.2,jps4,True,13.0762,1952,199
20,100,100,0.2,dijkstra,True,26.6495,7927,199
20,100,100,0.2,astar,True,17.9293,4896,199
20,100,100,0.2,jps4,True,13.6275,2200,199
21,100,100,0.2,dijkstra,True,25.8991,7958,199
21,100,100,0.2,astar,True,19.0763,5353,199
21,100,100,0.2,jps4,True,15.1851,2433,199
22,100,100,0.2,dijkstra,True,26.9665,7972,198
22,100,100,0.2,astar,True,21.4572,5736,198
22,100,100,0.2,jps4,True,16.2995,2662,198
23,100,100,0.2,dijkstra,True,26.4204,7967,198
23,100,100,0.2,astar,True,18.7053,5106,198
23,100,100,0.2,jps4,True,14.8417,2362,198
24,100,100,0.2,dijkstra,True,25.403,7881,201
24,100,100,0.2,astar,True,21.8515,5990,201
24,100,100,0.2,jps4,True,19.3298,3036,201
25,100,100,0.2,dijkstra,True,26.8512,7998,198
25,100,100,0.2,astar,True,19.4686,5084,198
25,100,100,0.2,jps4,True,14.0935,2306,198
26,100,100,0.2,dijkstra,True,29.8021,8067,199
26,100,100,0.2,astar,True,22.2073,5758,199
26,100,100,0.2,jps4,True,17.5004,2576,199
27,100,100,0.2,dijkstra,True,26.8889,7977,207
27,100,100,0.2,astar,True,22.1216,5944,207
27,100,100,0.2,jps4,True,18.8051,2864,207
28,100,100,0.2,dijkstra,True,26.4811,7917,196
28,100,100,0.2,astar,True,17.7203,4813,196
28,100,100,0.2,jps4,True,14.461,2184,196
29,100,100,0.2,dijkstra,True,26.5664,7906,198
29,100,100,0.2,astar,True,24.544,6465,198
29,100,100,0.2,jps4,True,19.2523,3055,198
0,100,100,0.25,dijkstra,True,26.2576,7422,194
0,100,100,0.25,astar,True,11.3735,2802,194
0,100,100,0.25,jps4,True,9.257,1464,194
1,100,100,0.25,dijkstra,True,26.0478,7443,199
1,100,100,0.25,astar,True,12.1564,3414,199
1,100,100,0.25,jps4,True,10.9624,1810,199
2,100,100,0.25,dijkstra,True,24.9243,7407,198
2,100,100,0.25,astar,True,9.82,2745,198
2,100,100,0.25,jps4,True,7.9936,1418,198
3,100,100,0.25,dijkstra,True,26.5986,7513,199
3,100,100,0.25,astar,True,14.6438,4070,199
3,100,100,0.25,jps4,True,12.9522,2140,199
4,100,100,0.25,dijkstra,True,25.0727,7493,199
4,100,100,0.25,astar,True,15.0983,4021,199
4,100,100,0.25,jps4,True,12.3229,2042,199
5,100,100,0.25,dijkstra,True,25.7116,7386,201
5,100,100,0.25,astar,True,19.0753,5255,201
5,100,100,0.25,jps4,True,17.2924,2926,201
6,100,100,0.25,dijkstra,True,25.4937,7414,198
6,100,100,0.25,astar,True,6.5545,1671,198
6,100,100,0.25,jps4,True,5.3549,833,198
7,100,100,0.25,dijkstra,True,24.6117,7424,201
