density,trial,mode,ok,ms,expansions,path_cells
0.4,12,astar,True,4.13,997,148
0.4,12,jps4,True,3.5849,1045,148
0.4,13,dijkstra,True,2.3508,822,121
0.4,13,astar,True,2.179,634,121
0.4,13,jps4,True,2.5341,725,121
0.4,14,dijkstra,True,2.3554,856,86
0.4,14,astar,True,1.4915,472,86
0.4,14,jps4,True,1.7113,495,86
0.4,15,dijkstra,True,3.0103,1082,106
0.4,15,astar,True,1.8958,618,106
0.4,15,jps4,True,2.2071,655,106
0.4,16,dijkstra,True,2.1248,718,77
0.4,16,astar,True,0.9946,325,77
0.4,16,jps4,True,4.14,699,77
0.4,17,dijkstra,True,2.4448,799,89
0.4,17,astar,True,1.2181,392,89
0.4,17,jps4,True,1.49,409,89
0.4,18,dijkstra,True,3.5651,1072,81
0.4,18,astar,True,1.0574,320,81
0.4,18,jps4,True,2.3221,476,81
0.4,19,dijkstra,True,3.3449,1157,91
0.4,19,astar,True,2.5852,810,91
0.4,19,jps4,True,3.4442,919,91
0.4,20,dijkstra,True,1.9793,710,118
0.4,20,astar,True,1.706,572,118
0.4,20,jps4,True,2.9936,681,118
0.4,21,dijkstra,True,2.5614,908,118
0.4,21,astar,True,2.3466,786,118
0.4,21,jps4,True,2.6132,815,118
0.4,22,dijkstra,True,2.3523,834,113
0.4,22,astar,True,1.751,563,113
0.4,22,jps4,True,4.2279,858,113
0.4,23,dijkstra,True,3.8376,1240,93
0.4,23,astar,True,1.7083,547,93
0.4,23,jps4,True,2.8674,678,93
